,Unnamed: 0,set_num,name,year,num_parts
1917,1917,1850-1,Freestyle Set,1995,27
1918,1918,1852-1,Crocodile Bucket,1995,44
1919,1919,1853-1,Navigator,1996,158
1920,1920,1854-1,House with Roof-Windows,1996,153
1921,1921,1856-1,Water Park Tub,1996,71
1922,1922,1857-1,Basic Bricks,1996,950
1923,1923,1858-1,Droid Scout,1996,23
1924,1924,1859-1,Aeroplane,1995,10
1925,1925,1860-1,Freestyle Set,1995,32
1926,1926,1861-1,Box of Bricks,1996,49
1927,1927,18629-1,Iconic Black Hands,2017,0
1928,1928,1863-1,Freestyle Trial Set,1995,11
1929,1929,18636-1,Bionicle Trading Card Booster Pack,2001,0
1930,1930,1865-1,Airliner,1994,29
1931,1931,1867-1,Medium Bulk Bucket,1997,400
1932,1932,1868-1,Freestyle Box,1996,220
1933,1933,1869-1,South African Flag,1996,81
1934,1934,1870-1,Freestyle Set,1995,43
1935,1935,1871-1,Pirates Cannon,1994,17
1936,1936,1872-1,Imperial Guard Camp,1994,28
1937,1937,1873-1,Pirate Treasure,1994,49
1938,1938,1874-1,Polly Pick-Up,1993,141
1939,1939,1875-1,Meteor Monitor,1990,32
1940,1940,1876-1,Soil Scooper,1990,73
1941,1941,1877-1,Crusader's Cart,1990,60
1942,1942,1878-1,Small Bucket,1991,405
1943,1943,1879-1,Large Bucket,1992,441
1944,1944,1880-1,XL Bucket,1992,576
1945,1945,1881-1,Small Bucket,1991,288
1946,1946,1882-1,Large Bucket,1991,455
1947,1947,1883-1,Rabbit Rattle,1990,1
1948,1948,1884-1,Small Bucket,1992,193
1949,1949,1885-1,XL Bucket,1992,465
1950,1950,1886411565-1,Jin Sato's LEGO Mindstorms: The Master's Technique,2002,0
1951,1951,1887-1,Scout Patrol Ship,1992,30
1952,1952,1888-1,Black Knights Guardshack,1992,49
1953,1953,1889-1,Pirate's Treasure Hold,1992,38
1954,1954,1890-1,Octan Racer,1992,47
1955,1955,1891-1,Four Set Value Pack,1992,0
1956,1956,1895-1,Sky Patrol,1992,89
1957,1957,1896-1,Trauma Team,1992,296
1958,1958,1898-1,Weetabix Dragster,1989,27
1959,1959,1899-1,Race Car Number 1,1989,24
1960,1960,19001-1,Löwenstein Castle,2019,2017
1961,1961,19002-1,Antique Fire Engine,2019,1279
1962,1962,19003-1,Skyline Express,2019,1366
1963,1963,19004-1,Wild West Saloon,2019,1497
1964,1964,19005-1,Isle of Peril,2019,1302
1965,1965,19006-1,Eight Studs,2019,1394
1966,1966,19007-1,Science Tower,2019,1205
1967,1967,19008-1,The LEGO Story,2019,1443
1968,1968,19009-1,Imagine It! Build It!,2019,925
1969,1969,190-1,Farm Set,1975,526
1970,1970,19010-1,Hot Shot Carnival,2019,592
1971,1971,19011-1,Vintage Roadster,2019,475
1972,1972,1901-2,Mini Basic Set,1984,36
1973,1973,19012-1,Bikes!,2019,520
1974,1974,19013-1,Steampunk Mini Chess,2019,372
1975,1975,1905-1,Mini Basic Set,1982,36
1976,1976,1906-1,Majisto's Tower,1994,196
1977,1977,1907-1,Crecer Feliz Giftbox,1990,2
1978,1978,19-1,Farm Family,1986,4
1979,1979,1910-1,Promo Basic Set,1982,88
1980,1980,1911-1,Basic Set,1983,34
1981,1981,1912-1,Building Set A: Car,1983,20
1982,1982,1913-1,Building Set B: Boat,1983,27
1983,1983,1914-1,Building Set C: Helicopter,1983,20
1984,1984,1915-1,Building Set D: Aircraft,1983,20
1985,1985,1916-1,Starion Patrol,1993,23
1986,1986,1916-2,McDonald's Happy Meal - Animal,1983,6
1987,1987,1917-1,King's Catapult,1993,22
1988,1988,1917-2,McDonald's Happy Meal - Animal,1983,5
1989,1989,1918-1,McDonald's Happy Meal - Bird,1983,5
1990,1990,191908686325-1,Snow Character Building Kit,2021,0
1991,1991,191908686356-1,Snow & Sand Building Kit,2021,0
1992,1992,1919-1,McDonald's Happy Meal - Promotional Set,1983,5
1993,1993,19197480-1,Ninjago: Ninja vs. Constrictai,2012,6
1994,1994,19198074-1,Ninjago: The Tournament of Elements,2015,11
1995,1995,1920-1,Promo Basic Set,1982,119
1996,1996,192-1,Policemen,1977,85
1997,1997,1922-1,Bucket,1994,50
1998,1998,1922-2,Basic Building Set,1983,60
1999,1999,1923-1,Viking Line Ferry,1989,185
2000,2000,1924-1,Motorcycle,1983,103
2001,2001,1924-2,Viking Line Ferry,1992,244
2002,2002,1929-1,Guardsman,1988,13
2003,2003,1932-1,Basic Building Set + Storage Case,1984,82
2004,2004,193229-1,Super Mario Carry Case,2021,0
2005,2005,194-1,Family,1976,94
2006,2006,1944-1,Basic Set with Storage Case,1983,142
2007,2007,1945-1,Basic Set,1994,18
2008,2008,1950-1,Basic Set,1990,17
2009,2009,195-1,Airplane,1975,89
2010,2010,1952-1,Dairy Tanker,1989,129
2011,2011,1953-1,Mouse,1989,14
2012,2012,1954-1,Surveillance Scooter,1995,23
2013,2013,1954-2,Basic Set with Storage Case,1984,145
2014,2014,1955-1,Color Line Ferry,1993,245
2015,2015,1955-2,Plush Red Bunny / Rabbit Storage Bag,1984,0
2016,2016,1957-1,Building Set with Storage Bunny,1985,29
2017,2017,1958-1,Windsurfer,1993,21
2018,2018,1958-2,Car Building Set,1985,5
2019,2019,1959-1,Ultra-Light,1993,30
2020,2020,1959-2,House Building Set,1985,8
2021,2021,1960-2,Special Value 96 pieces (Canadian Set),1985,104
2022,2022,196-1,Antique Car,1975,115
2023,2023,1962-1,Basic Building Set,1985,219
2024,2024,1963-1,Basic Set with Storage Case,1986,221
2025,2025,1964-1,Basic Building Set,1985,27
2026,2026,1965-1,Basic Building Set,1985,38
2027,2027,1966-1,Car Repair Shop,1985,302
2028,2028,1967-1,System Bonus Pack,1993,0
2029,2029,1967-2,Town Value Pack,1985,0
2030,2030,1968-1,Space Express,1985,183
2031,2031,1969-1,Mini Robot,1993,38
2032,2032,1969-2,Space Value Pack,1985,0
2033,2033,1970-1,Pirate's Gun Cart,1993,31
2034,2034,197-1,Farm Vehicle and Animals,1976,120
2035,2035,19710-1,Sears Tower (Brickstructures Version),2008,68
2036,2036,1971-1,Black Knight's Battering Ram,1993,36
2037,2037,19720-1,John Hancock Center (Brickstructures Version),2008,69
2038,2038,1972-1,Go-Cart,1985,98
2039,2039,1973-1,Emirates Airliner,1989,139
2040,2040,1974-1,Legoland Triple Pack,1989,0
2041,2041,19741980-1,Ninjago: Ninja vs. Fangpyre,2012,5
2042,2042,1974-2,Flyercracker USA,1989,74
2043,2043,1974-3,Smuggler's Hayride,1989,50
2044,2044,1974-4,Star Quest,1989,37
2045,2045,1975-1,Car and House Building Sets,1985,0
2046,2046,1976-1,Town 3-Pack,1984,0
2047,2047,1977-1,Space Value Pack,1983,0
2048,2048,1977-2,Pre-School Building Set (XL),1991,100
2049,2049,1978-1,Build-A-Santa,1991,39
2050,2050,1978-2,Town Value Pack,1983,0
2051,2051,1979-1,Snowman,1991,42
2052,2052,1979-2,Town Value Pack,1984,0
2053,2053,1980-1,Santa's Elves,1991,30
2054,2054,19801974-1,Ninjago: Ninja vs. Venomari,2012,5
2055,2055,198-1,Cowboys,1977,39
2056,2056,1981-1,Rattle,1987,1
2057,2057,1983-1,Space Value Pack,1984,0
2058,2058,1990-1,F1 Race Car,1993,35
2059,2059,199-1,Scooter,1977,41
2060,2060,1991-1,Racing Pickup,1993,81
2061,2061,1992-1,Dragsters,1993,104
2062,2062,1993-1,Race Value Pack,1993,0
2063,2063,1994-1,Turtle Bucket with Motor,1992,192
2064,2064,1995-1,Racer,1999,15
2065,2065,1997-1,Town Value Pack,1985,0
2066,2066,1998-1,Silja Line Ferry,1991,376
2067,2067,1999-1,Space Value Pack,1985,0
2068,2068,2000-1,Sally Starfish,1998,1
2069,2069,20001-1,BrickMaster,2007,103
2070,2070,2000202-1,Action Wheelers Project Idea Pack,2001,0
2071,2071,20002-1,4x4 Fire Truck,2008,56
2072,2072,2000210-1,Workshop Kit 1-2,2015,55
2073,2073,2000211-1,Sample Set Snake,2015,15
2074,2074,20003-1,Dinosaur,2008,102
2075,2075,2000409-1,Window Exploration Bag,2010,5200
2076,2076,20004-1,Jungle Cruiser,2008,83
2077,2077,2000413-1,Connections Kit,2010,2045
2078,2078,2000414-1,Starter Kit,2012,236
2079,2079,2000415-1,Identity and Landscape Kit,2010,1536
2080,2080,2000416-1,Duck,2008,6
2081,2081,2000418-1,Workshop Kit for Simple Machines,2012,43
2082,2082,2000421-1,FLL Trophy Small,2013,233
2083,2083,2000422-1,FLL Trophy Medium,2013,280
2084,2084,2000423-1,FLL Trophy Large,2013,437
2085,2085,2000424-1,StoryStarter Workshop Kit,2014,96
2086,2086,2000425-1,Mindstorms EV3 Workshop Kit,2013,117
2087,2087,2000426-1,Mindstorms EV3 Element Accessory Pack,2014,108
2088,2088,2000430-1,Identity and Landscape Kit,2013,2854
2089,2089,2000430-2,Identity and Landscape Kit,2022,2810
2090,2090,2000431-1,Connections Kit,2013,2448
2091,2091,2000442-1,Workshop Kit Spinning Top,2015,10
2092,2092,2000443-1,Workshop Kit Freewheeler,2015,91
2093,2093,2000444-1,Workshop Kit Back-to-Back,2015,10
2094,2094,2000445-1,Crossing the River,2016,16
2095,2095,2000446-1,"Building My SG - Reflect, Celebrate, Inspire",2015,244
2096,2096,2000446-2,"Building My SG - Reflect, Celebrate, Inspire (Special Commemorative Edition)",2015,244
2097,2097,2000447-1,WeDo Mascot Mini Milo,2016,31
2098,2098,2000448-1,Max and Mia,2016,9
2099,2099,2000451-1,The Panama Canal,2016,1184
2100,2100,2000453-1,STEAM Workshop Kit,2017,15
2101,2101,2000455-1,FIRST Competitions Medal,2019,18
2102,2102,2000456-1,SPIKE Prime Marketing Kit,2019,150
2103,2103,2000457-1,SPIKE Prime Elements Set,2020,374
2104,2104,2000458-1,SPIKE Essential Introductory Set,2021,112
2105,2105,2000460-1,BOOMTOWN BUILD  Discover More,2019,12
2106,2106,2000461-1,Discover More,2020,12
2107,2107,2000470-1,BricQ Motion Prime Personal Learning Kit,2021,78
2108,2108,2000471-1,BricQ Motion Essential Personal Learning Kit,2021,62
2109,2109,2000480-1,Personal Learning Kit Prime,2022,110
2110,2110,2000481-1,Personal Learning Kit Essential,2022,102
2111,2111,20005-1,Winged Rahi (Klakk),2008,38
2112,2112,2000524-1,E-Learning: Getting Started with StoryStarter,2015,0
2113,2113,2000556-1,Six Bricks,2021,12
2114,2114,20006-1,Clone Turbo Tank,2008,64
2115,2115,2000700-1,Mindstorms EV3 Replacement Pack 1,2015,70
2116,2116,2000701-1,Mindstorms EV3 Replacement Pack 2,2015,32
2117,2117,2000702-1,Mindstorms EV3 Replacement Pack 3,2015,4
2118,2118,2000703-1,Mindstorms EV3 Replacement Pack 4,2015,32
2119,2119,2000704-1,Mindstorms EV3 Replacement Pack 5,2015,24
2120,2120,2000705-1,Mindstorms EV3 Replacement Pack 6,2015,30
2121,2121,2000706-1,Mindstorms EV3 Replacement Pack 7,2015,8
2122,2122,2000707-1,Rubber Band Replacement Pack,2015,8
2123,2123,2000708-1,Machines & Mechanisms Replacement Pack 1,2015,60
2124,2124,2000709-1,Machines & Mechanisms Replacement Pack 2,2015,42
2125,2125,20007-1,Republic Attack Cruiser,2009,84
2126,2126,2000710-1,WeDo Replacement Pack 1,2015,32
2127,2127,2000711-1,WeDo Replacement Pack 2,2015,34
2128,2128,2000713-1,Tech Machines Screwdriver Replacement Pack,2013,1
2129,2129,2000714-1,Trash Trek Replacement Pack,2015,104
2130,2130,2000715-1,WeDo 2.0 Replacement Pack,2016,109
2131,2131,2000716-1,Animal Allies Replacement Pack,2016,87
2132,2132,2000719-1,SPIKE Prime Replacement Pack,2020,108
2133,2133,2000720-1,SPIKE Prime Workshop Kit,2020,53
2134,2134,2000722-1,SPIKE Essential Replacement Pack 1,2021,97
2135,2135,2000723-1,SPIKE Essential Replacement Pack 2,2021,16
2136,2136,2000727-1,SPIKE Essential Minifigures,2022,20
2137,2137,20008-1,Tow Truck,2009,79
2138,2138,20009-1,AT-TE Walker,2009,94
2139,2139,200-1,Family,1974,78
2140,2140,20010-1,Republic Gunship,2009,94
2141,2141,2001-1,Sun Set,1998,4
2142,2142,20011-1,Garbage Truck,2009,74
2143,2143,20012-1,Click,2009,33
2144,2144,20013-1,Mini Neptune Carrier,2010,63
2145,2145,20014-1,4 x 4 Dynamo,2010,69
2146,2146,20015-1,Crocodile,2010,89
2147,2147,20016-1,Imperial Shuttle,2010,70
2148,2148,20017-1,Dagger Trap,2010,52
2149,2149,20018-1,AT-AT Walker,2010,83
2150,2150,20019-1,Slave I,2011,76
2151,2151,200-2,Building Ideas Book,1985,2
2152,2152,20020-1,Mini Turbo Shredder,2011,83
2153,2153,20021-1,Bounty Hunter Assault Gunship,2011,81
2154,2154,200-3,"LEGO Town Plan Board, Plastic",1957,1
2155,2155,2003-1,Jumbo Building Bag,1998,78
2156,2156,200-4,"LEGO Town Plan Board, Continental European Cardboard Version",1959,1
2157,2157,2004-1,Jumbo Building Tub,1996,50
2158,2158,200-5,"LEGO Town Plan Board, UK / Australian Cardboard Version",1962,1
2159,2159,2005-1,Duplo Primo,1996,18
2160,2160,2005544-1,Mindstorms EV3 Design Engineering Projects,2016,0
2161,2161,2006-1,Primo Box,1995,24
2162,2162,2007-1,Singing Camel,1998,2
2163,2163,2008-1,Heart 2008,2008,92
2164,2164,2009-1,Large Bulk Box,1997,25
2165,2165,2009119-1,Bob the Builder ACP,2001,0
2166,2166,2009-2,Heart 2009,2009,92
2167,2167,200A-1,LEGO Town Plan Wooden Board,1957,1
2168,2168,200M-1,LEGO Town Plan Wooden Board,1957,1
2169,2169,20-1,Universal Building Set,1976,218
2170,2170,2010-1,Baby Walker,1997,17
2171,2171,2010-2,Happy Holidays - The Christmas Game,2010,139
2172,2172,2011-1,My Home Stack 'n' Learn Set,1998,6
2173,2173,2011-2,LEGO Duck,2011,91
2174,2174,2012-1,Lucy Ladybug,1998,13
2175,2175,20122014-1,Ninjago: Sons of Garmadon,2018,14
2176,2176,2013-1,Choo-choo Train,1998,10
2177,2177,2014-1,Oval Rattle,1986,1
2178,2178,2015-1,Oval Rattle,1983,1
2179,2179,2017-1,Choo Choo Train,1998,13
2180,2180,2018-1,Timmy's Stack 'n' Learn Set,1998,21
2181,2181,201908-mmb,Owl,2019,32
2182,2182,2019-1,Building Fun,1998,29
2183,2183,20-2,Farm Animals,1986,4
2184,2184,20200-1,"Level One - Kit 1, Space Designer",2011,179
2185,2185,2020-1,Duck Rattle / Teether,1987,1
2186,2186,20201-1,"Level One - Kit 2, Microbuild Designer",2011,222
2187,2187,20201214-1,Ninjago: Official Annual 2017,2016,26
2188,2188,20201412-1,Ninjago: Official Annual 2016,2016,14
2189,2189,20202030-1,Elves: Dragon Adventures,2016,17
2190,2190,20202-1,"Level One - Kit 3, Robot Designer",2011,155
2191,2191,20203-1,"Level Two - Kit 4, Flight Designer",2011,150
2192,2192,20204-1,"Level Two - Kit 5, Creature Designer",2012,232
2193,2193,20205-1,"Level Two - Kit 6, Auto Designer",2012,188
2194,2194,20206-1,"Level Three - Kit 7, The Lost Village",2012,229
2195,2195,20207-1,"Level Three - Kit 8, The Forbidden Bridge",2012,220
2196,2196,20208-1,"Level Three - Kit 9, The Dark Lair",2012,183
2197,2197,20209-1,"Level Four - Kit 10, Time Machine",2012,209
2198,2198,20210-1,"Level Four - Kit 11, World Architecture",2012,258
2199,2199,2021-1,Clarence Caterpillar and Friends Gift Set,1998,7
2200,2200,20211-1,"Level Four - Kit 12, Inventor's Lab",2012,208
2201,2201,20212-1,Level One - Kits 1-3,2012,383
2202,2202,20214-1,Adventure Designer (Kits 7 - 9 Redesign),2013,0
2203,2203,20215-1,Invention Designer (Kits 10 - 12),2013,675
2204,2204,20216-1,Robot & Micro Designer (Kits 2 - 3 Redesign),2013,0
2205,2205,20217-1,Action Designer (Kits 4 - 6 Redesign),2013,0
2206,2206,2022-1,Amy Elephant,1998,12
2207,2207,2023-1,Square Rattle,1983,1
2208,2208,2024-1,Duck Rattle,1983,1
2209,2209,2025-1,Boat,1999,12
2210,2210,2027-1,Alpha Pen Pack,2000,0
2211,2211,2028-1,Classic Pen Pack,2000,38
2212,2212,2028-2,Try-Me-Set with Bee,1998,5
2213,2213,2029-1,Dream Star Pen Pack,2000,39
2214,2214,2029-2,Stack 'N' Learn Set,1998,8
2215,2215,2030-1,Safari Pen Pack,2000,27
2216,2216,2030-2,Squirting Frog,1999,1
2217,2217,2031-1,Tiny Turtle,1999,2
2218,2218,2032-1,Helicopter,1999,18
2219,2219,2032-2,Space Port Pen Pack,2001,29
2220,2220,2033-1,Clown Shape Sorter,1985,8
2221,2221,2033-2,Life On Mars Pen Pack,2001,29
2222,2222,2035-1,Sport Pen Pack,2002,27
2223,2223,2037-1,Spin-A-Coaster,1983,2
2224,2224,2038-1,Bath Activity Set,1983,2
2225,2225,2039-1,Paddleboat,1999,2
2226,2226,2040-1,Rock 'n' Roller,1989,3
2227,2227,2044-1,Waterlily Princess and Friend,1999,3
2228,2228,2045-1,Car,1999,17
2229,2229,2045100-1,StoryStarter Curriculum Pack and StoryVisualizer Software,2013,0
2230,2230,2045101-1,StoryStarter Fairy Tale Curriculum Pack,2015,0
2231,2231,2045102-1,StoryStarter Space Curriculum Pack,2015,0
2232,2232,2045103-1,StoryStarter Community Curriculum Pack,2015,0
2233,2233,2045210-1,MoreToMath 1-2 Curriculum Pack and MathBuilder Software,2015,0
2234,2234,2045300-1,WeDo 2.0 Curriculum Pack,2016,0
2235,2235,2046-1,Fishing Fun,1999,5
2236,2236,2047-1,Plane,1999,13
2237,2237,2048-1,Water Friends,1999,8
2238,2238,2050-1,Squirrel,1987,2
2239,2239,20502-1,Electronic Deluxe Sword,2005,0
2240,2240,2051-1,Spin-A-Coaster,1986,2
2241,2241,205-2,Universal Figure Set,1978,118
2242,2242,2052-1,Clown Shape Sorter,1987,8
2243,2243,205-3,Basic Set,1966,209
2244,2244,2053-1,Rock 'n' Roll Pull-Toy,1980,5
2245,2245,2054-1,Squirrel,1984,2
2246,2246,2055-1,Rocking Horse,1984,3
2247,2247,2056-1,Rock 'n' Rattle Pull-Toy,1980,8
2248,2248,2057-1,Rocking Horse Push-Along,1986,3
2249,2249,2059-1,Activity and Bath Toy,1986,2
2250,2250,2063-1,Stormer 2.0,2011,31
2251,2251,2064-1,Air Ambulance,2007,116
2252,2252,2064-2,SpongeBob Pen,2008,0
2253,2253,2065-1,Furno 2.0,2011,30
2254,2254,2066-1,Bath-Tub Buddies,1989,2
2255,2255,2067-1,Evo 2.0,2011,31
2256,2256,2068-1,Nex 2.0,2011,31
2257,2257,2069-1,Boat,1999,15
2258,2258,2070-1,Ring Me Rabbit,1987,3
2259,2259,2071-1,My First Plane,1999,2
2260,2260,2072-1,Touch and Learn Cot Toy,1987,9
2261,2261,2073-1,Baby Gift Pack,1989,5
2262,2262,2074-1,Rattle and Activity Gift Set,1989,10
2263,2263,2075-1,Prop Plane,1999,14
2264,2264,2076-1,Cubby House,1999,8
2265,2265,2078-1,Baby Trial Size Set,1996,4
2266,2266,2080-1,Small Stack 'n' Learn Set,1995,9
2267,2267,208-1,Mother with Baby Carriage,1978,46
2268,2268,2081-1,Stack 'n' Learn Starter Set,1997,6
2269,2269,2082-1,Medium Stack 'n' Learn Set,1995,10
2270,2270,2083-1,Medium Stack 'N' Learn,1997,9
2271,2271,2084-1,Large Stack 'n' Learn,1995,15
2272,2272,2085-1,Frederick Frog,1997,13
2273,2273,2086-1,XLarge Stack 'n' Learn Set,1995,20
2274,2274,2087-1,Large Storage Bird,1997,19
2275,2275,2089-1,Stack 'n' Learn Gift Set,1997,24
2276,2276,2090-1,Baby Storage Bear,1995,19
2277,2277,2091-1,Primo Tumbler,1996,22
2278,2278,2092-1,Primo Canister,1996,11
2279,2279,2094-1,Cozy Duck,1997,2
2280,2280,2095-1,Shake N' Roll Surprise,1997,2
2281,2281,2096-1,Stack-a-Mouse,1997,6
2282,2282,2097-1,Caterpillar and Friends,1997,3
2283,2283,2098-1,Bathtime Boat (Tug Boat Tommy),1997,3
2284,2284,2099-1,Fun Shape Sorter,1997,10
2285,2285,2-10,Mini-Wheel Model Maker No. 2,1971,74
2286,2286,21000-1,Sears Tower,2008,69
2287,2287,21000-2,Willis Tower,2011,69
2288,2288,21001-1,John Hancock Center,2008,69
2289,2289,21002-1,Empire State Building,2009,77
2290,2290,21003-1,Seattle Space Needle,2009,57
2291,2291,21004-1,Solomon R. Guggenheim Museum,2009,208
2292,2292,21005-1,Fallingwater,2009,811
2293,2293,21006-1,The White House,2010,561
2294,2294,21007-1,Rockefeller Center,2010,240
2295,2295,21008-1,Burj Khalifa,2011,208
2296,2296,21009-1,Farnsworth House,2011,546
2297,2297,210-1,Cowboys,1976,39
2298,2298,21010-1,Robie House,2011,2276
2299,2299,2101-1,Circus Catapult,1999,7
2300,2300,21011-1,Brandenburg Gate,2011,363
2301,2301,2101-2,Circus Catapult,1999,12
2302,2302,21012-1,Sydney Opera House,2012,270
2303,2303,21013-1,Big Ben,2012,346
2304,2304,21014-1,Villa Savoye,2012,660
2305,2305,21015-1,The Leaning Tower of Pisa,2013,345
2306,2306,21016-1,Sungnyemun,2012,325
2307,2307,21017-1,Imperial Hotel,2013,1188
2308,2308,21018-1,United Nations Headquarters,2013,597
2309,2309,21019-1,The Eiffel Tower,2014,320
2310,2310,210-2,Small Store Set,1958,29
2311,2311,21020-1,Trevi Fountain,2014,731
2312,2312,2102-1,Storage Bee,1997,19
2313,2313,21021-1,Marina Bay Sands,2014,602
2314,2314,21022-1,Lincoln Memorial,2015,274
2315,2315,21023-1,Flatiron Building,2015,471
2316,2316,21024-1,Louvre,2015,695
2317,2317,21026-1,Venice,2016,212
2318,2318,21027-1,Berlin,2016,289
2319,2319,21028-1,New York City,2016,598
2320,2320,21029-1,Buckingham Palace,2016,780
2321,2321,210-2-DBASE-1,Database Set for 210-2,1958,9
2322,2322,21030-1,United States Capitol Building,2016,1032
2323,2323,2103-1,Busy Builder Starter Set,1999,7
2324,2324,21031-1,Burj Khalifa,2016,333
2325,2325,21032-1,Sydney,2017,361
2326,2326,21033-1,Chicago,2017,444
2327,2327,21034-1,London,2016,468
2328,2328,21035-1,Solomon R. Guggenheim Museum,2017,744
2329,2329,21036-1,Arc de Triomphe,2017,386
2330,2330,21037-1,LEGO House,2017,774
2331,2331,21038-1,Las Vegas,2017,487
2332,2332,21039-1,Shanghai,2018,597
2333,2333,2104-1,Wilma Whale,1999,14
2334,2334,21041-1,Great Wall of China,2018,550
2335,2335,21042-1,Statue of Liberty,2018,1685
2336,2336,21043-1,San Francisco,2019,565
2337,2337,21044-1,Paris,2019,649
2338,2338,21045-1,Trafalgar Square,2019,1197
2339,2339,21046-1,Empire State Building,2019,1767
2340,2340,21047-1,Las Vegas,2018,501
2341,2341,21050-1,Architecture Studio,2013,1211
2342,2342,21051-1,Tokyo,2020,547
2343,2343,21052-1,Dubai,2020,740
2344,2344,21054-1,The White House,2020,1483
2345,2345,21055-1,Burj Khalifa,2019,333
2346,2346,21056-1,Taj Mahal,2021,2024
2347,2347,21057-1,Singapore,2022,832
2348,2348,21058-1,Great Pyramid of Giza,2022,1476
2349,2349,21060-1,Himeji Castle,2023,2125
2350,2350,2106-1,Scoop N' Squirt Fun Pack,1999,9
2351,2351,2107-1,Turtle Wagon,1999,31
2352,2352,2108-1,Perky Paddler,1999,4
2353,2353,21083-1,Star Wars: The Video Game - PS2,2005,0
2354,2354,2109-1,{unknown},2000,14
2355,2355,2-11,Medium Basic Set,1976,130
2356,2356,21-1,Horses & Corral,1986,10
2357,2357,21100-1,Shinkai 6500 Submarine,2011,413
2358,2358,21101-1,Hayabusa,2012,369
2359,2359,21102-1,Micro World,2012,479
2360,2360,21103-1,The DeLorean Time Machine,2013,401
2361,2361,21104-1,NASA Mars Science Laboratory Curiosity Rover,2014,295
2362,2362,21105-1,Micro World - The Village,2013,466
2363,2363,21106-1,Micro World - The Nether,2013,470
2364,2364,21107-1,Micro World - The End,2014,440
2365,2365,21108-1,Ghostbusters Ecto-1,2014,508
2366,2366,21109-1,Exo-Suit,2014,321
2367,2367,211-1,Mother and Baby with Dog,1976,44
2368,2368,21110-1,Research Institute,2014,164
2369,2369,2111-1,Kai,2011,19
2370,2370,21113-1,The Cave,2014,249
2371,2371,21114-1,The Farm,2014,262
2372,2372,21115-1,The First Night,2014,408
2373,2373,21116-1,Crafting Box,2014,518
2374,2374,21117-1,The Ender Dragon,2014,636
2375,2375,21118-1,The Mine,2014,922
2376,2376,21119-1,The Dungeon,2015,219
2377,2377,211-2,Small House Set,1958,20
2378,2378,21120-1,The Snow Hideout,2015,327
2379,2379,2112-1,Cole,2011,19
2380,2380,21121-1,The Desert Outpost,2015,519
2381,2381,21122-1,The Nether Fortress,2015,571
2382,2382,21123-1,The Iron Golem,2016,208
2383,2383,21124-1,The End Portal,2016,559
2384,2384,21125-1,The Jungle Tree House,2016,707
2385,2385,21126-1,The Wither,2016,318
2386,2386,21127-1,The Fortress,2016,984
2387,2387,21128-1,The Village,2016,1600
2388,2388,21129-1,The Mushroom Island,2017,247
2389,2389,21130-1,The Nether Railway,2017,387
2390,2390,2113-1,Zane,2011,19
2391,2391,21131-1,The Ice Spikes,2017,454
2392,2392,21132-1,The Jungle Temple,2017,598
2393,2393,21133-1,The Witch Hut,2017,502
2394,2394,21134-1,The Waterfall Base,2017,729
2395,2395,21135-1,The Crafting Box 2.0,2017,717
2396,2396,21136-1,The Ocean Monument,2017,1122
2397,2397,21137-1,The Mountain Cave,2017,2863
2398,2398,21138-1,The Melon Farm,2018,69
2399,2399,21139-1,The Nether Fight,2018,84
2400,2400,21140-1,The Chicken Coop,2018,198
2401,2401,2114-1,Chopov,2011,20
2402,2402,21141-1,The Zombie Cave,2018,241
2403,2403,21142-1,The Polar Igloo,2018,278
2404,2404,21143-1,The Nether Portal,2018,470
2405,2405,21144-1,The Farm Cottage,2018,549
2406,2406,21145-1,The Skull Arena,2018,198
2407,2407,21146-1,The Skeleton Attack,2018,457
2408,2408,21147-1,The Bedrock Adventures,2018,644
2409,2409,21148-1,Minecraft Steve BigFig with Parrot,2019,159
2410,2410,21149-1,Minecraft Alex BigFig with Chicken,2019,160
2411,2411,21150-1,Minecraft Skeleton BigFig with Magma Cube,2019,142
2412,2412,2115-1,Bonezai,2011,21
2413,2413,21151-1,The End Battle,2019,222
2414,2414,21152-1,The Pirate Ship Adventure,2019,386
2415,2415,21153-1,The Wool Farm,2019,260
2416,2416,21154-1,The Blaze Bridge,2019,372
2417,2417,21155-1,The Creeper Mine,2019,834
2418,2418,21156-1,BigFig Creeper and Ocelot,2020,184
2419,2419,21157-1,BigFig Pig with Baby Zombie,2020,159
2420,2420,21158-1,The Panda Nursery,2020,204
2421,2421,21159-1,The Pillager Outpost,2020,303
2422,2422,21160-1,The Illager Raid,2020,562
2423,2423,2116-1,Krazi,2011,22
2424,2424,21161-1,The Crafting Box 3.0,2020,564
2425,2425,21162-1,The Taiga Adventure,2020,74
2426,2426,21163-1,The Redstone Battle,2020,511
2427,2427,21164-1,The Coral Reef,2021,92
2428,2428,21165-1,The Bee Farm,2020,238
2429,2429,21166-1,"The ""Abandoned"" Mine",2020,248
2430,2430,21167-1,The Trading Post,2020,201
2431,2431,21168-1,The Warped Forest,2021,287
2432,2432,21169-1,The First Adventure,2021,542
2433,2433,21170-1,The Pig House,2021,490
2434,2434,211701-1,Batman,2017,8
2435,2435,211702-1,The Joker,2017,7
2436,2436,2117-1,Peek-A-Boo Playmat,1999,4
2437,2437,21171-1,The Horse Stable,2021,241
2438,2438,21172-1,The Ruined Portal,2021,316
2439,2439,21173-1,The Sky Tower,2021,565
